id,name,age,class,stream,subject,topic,difficulty,clarity,last_score,daily_hours,study_time,session_time,break_time,weekly_hours,exam_date,days_left,exam_type,priority,syllabus_done,focus,distraction,consistency,revision,practice,learning_style,screen_time,sleep,stress,motivation,study_hours,revision_time,breaks,predicted_score
1,Rohit,18,12,Science,History,Topic9,Medium,6,85,6,Night,55,7,15,2026-08-06,20,Final,Medium,52,2,10,6,4,129,Practice,6,7,5,7,5,2,1,62
2,Simran,16,College,Arts,History,Topic9,Hard,5,78,5,Night,31,6,36,2026-08-12,29,Unit,Medium,57,2,1,7,4,113,Practice,2,6,3,7,5,1,3,65
3,Arjun,20,11,Commerce,Math,Topic4,Hard,8,83,4,Morning,37,7,34,2026-08-20,15,Final,High,31,8,8,5,4,112,Practice,4,6,10,6,4,3,3,76
4,Priya,19,College,Commerce,Accounts,Topic3,Easy,5,54,5,Evening,36,11,21,2026-08-02,12,Final,High,39,9,6,7,1,113,Notes,4,7,6,3,3,2,2,69
5,Simran,19,11,Science,History,Topic9,Hard,9,77,4,Evening,40,5,37,2026-08-23,15,Unit,Medium,69,1,3,5,2,113,Practice,3,7,9,4,3,3,2,80
6,Arjun,19,11,Science,Math,Topic9,Hard,5,59,4,Evening,36,8,26,2026-08-25,27,Unit,High,51,10,8,10,4,65,Practice,3,6,8,10,2,2,2,82
7,Amit,17,11,Science,Physics,Topic6,Easy,9,85,5,Morning,41,14,26,2026-08-05,8,Unit,High,38,6,9,2,4,105,Notes,3,5,5,9,5,3,1,78
8,Karan,17,12,Science,History,Topic10,Medium,1,87,5,Night,32,13,40,2026-08-03,14,Unit,Low,78,9,6,5,1,59,Video,4,8,4,2,2,3,1,87
9,Neha,17,11,Commerce,Physics,Topic6,Medium,4,89,6,Evening,59,12,32,2026-08-07,16,Unit,Medium,73,4,7,1,2,52,Notes,5,6,1,2,2,1,3,77
10,Karan,16,12,Arts,Math,Topic9,Easy,1,74,2,Night,50,15,37,2026-08-02,25,Final,Medium,31,2,6,8,4,136,Practice,5,5,6,8,5,1,2,67
11,Amit,19,College,Commerce,CS,Topic9,Medium,2,57,6,Night,40,10,27,2026-08-02,12,Final,Medium,46,1,3,3,2,54,Video,6,7,10,10,2,3,1,62
12,Rohit,18,College,Arts,History,Topic1,Hard,1,80,3,Morning,35,8,23,2026-08-18,13,Unit,High,74,4,10,3,5,54,Practice,4,5,6,8,3,3,3,88
13,Anjali,20,College,Arts,History,Topic1,Medium,8,68,2,Night,30,9,38,2026-08-13,9,Final,Low,75,2,3,2,5,98,Video,5,6,4,1,2,3,2,74
14,Sneha,20,College,Commerce,CS,Topic6,Medium,5,66,2,Evening,30,9,25,2026-08-02,14,Unit,High,33,7,5,1,2,51,Practice,2,6,5,3,3,3,1,79
