id,name,age,class,stream,subject,topic,difficulty,clarity,last_score,daily_hours,study_time,session_time,break_time,weekly_hours,days_left,exam_type,priority,syllabus_done,focus,distraction,consistency,revision,practice,learning_style,screen_time,sleep,stress,motivation,study_hours,revision_time,breaks,predicted_score,exam_year,exam_month,exam_day,exam_weekday
1,Rohit,18,12,Science,History,Topic9,Medium,6,85,6,Night,55,7,15,20,Final,Medium,52,2,10,6,4,129,Practice,6,7,5,7,5,2,1,62,2026,8,6,3
2,Simran,16,College,Arts,History,Topic9,Hard,5,78,5,Night,31,6,36,29,Unit,Medium,57,2,1,7,4,113,Practice,2,6,3,7,5,1,3,65,2026,8,12,2
3,Arjun,20,11,Commerce,Math,Topic4,Hard,8,83,4,Morning,37,7,34,15,Final,High,31,8,8,5,4,112,Practice,4,6,10,6,4,3,3,76,2026,8,20,3
4,Priya,19,College,Commerce,Accounts,Topic3,Easy,5,54,5,Evening,36,11,21,12,Final,High,39,9,6,7,1,113,Notes,4,7,6,3,3,2,2,69,2026,8,2,6
5,Simran,19,11,Science,History,Topic9,Hard,9,77,4,Evening,40,5,37,15,Unit,Medium,69,1,3,5,2,113,Practice,3,7,9,4,3,3,2,80,2026,8,23,6
6,Arjun,19,11,Science,Math,Topic9,Hard,5,59,4,Evening,36,8,26,27,Unit,High,51,10,8,10,4,65,Practice,3,6,8,10,2,2,2,82,2026,8,25,1
7,Amit,17,11,Science,Physics,Topic6,Easy,9,85,5,Morning,41,14,26,8,Unit,High,38,6,9,2,4,105,Notes,3,5,5,9,5,3,1,78,2026,8,5,2
8,Karan,17,12,Science,History,Topic10,Medium,1,87,5,Night,32,13,40,14,Unit,Low,78,9,6,5,1,59,Video,4,8,4,2,2,3,1,87,2026,8,3,0
9,Neha,17,11,Commerce,Physics,Topic6,Medium,4,89,6,Evening,59,12,32,16,Unit,Medium,73,4,7,1,2,52,Notes,5,6,1,2,2,1,3,77,2026,8,7,4
10,Karan,16,12,Arts,Math,Topic9,Easy,1,74,2,Night,50,15,37,25,Final,Medium,31,2,6,8,4,136,Practice,5,5,6,8,5,1,2,67,2026,8,2,6
11,Amit,19,College,Commerce,CS,Topic9,Medium,2,57,6,Night,40,10,27,12,Final,Medium,46,1,3,3,2,54,Video,6,7,10,10,2,3,1,62,2026,8,2,6
12,Rohit,18,College,Arts,History,Topic1,Hard,1,80,3,Morning,35,8,23,13,Unit,High,74,4,10,3,5,54,Practice,4,5,6,8,3,3,3,88,2026,8,18,1
13,Anjali,20,College,Arts,History,Topic1,Medium,8,68,2,Night,30,9,38,9,Final,Low,75,2,3,2,5,98,Video,5,6,4,1,2,3,2,74,2026,8,13,3
14,Sneha,20,College,Commerce,CS,Topic6,Medium,5,66,2,Evening,30,9,25,14,Unit,High,33,7,5,1,2,51,Practice,2,6,5,3,3,3,1,79,2026,8,2,6
15,Rahul,20,College,Commerce,History,Topic3,Hard,8,70,5,Morning,30,7,24,22,Unit,Low,46,7,3,2,1,136,Practice,4,7,8,3,2,1,2,89,2026,8,14,4
16,Rohit,18,College,Commerce,Physics,Topic1,Hard,9,65,5,Morning,56,6,27,14,Unit,High,61,3,7,1,5,94,Practice,2,7,8,2,4,1,2,77,2026,8,21,4
17,Rohit,16,College,Commerce,Physics,Topic9,Medium,5,90,4,Morning,55,7,35,29,Final,Low,58,2,2,9,3,64,Notes,5,7,1,3,5,2,2,75,2026,8,1,5
18,Rohit,19,11,Science,Math,Topic7,Medium,7,58,3,Night,57,7,39,8,Final,Medium,69,3,2,10,2,142,Practice,5,8,5,2,3,2,1,74,2026,8,6,3
19,Amit,18,11,Science,Physics,Topic2,Hard,3,67,5,Morning,56,5,20,26,Unit,Low,33,4,1,7,1,51,Video,6,8,2,3,5,2,2,82,2026,8,25,1
20,Rohit,18,11,Science,CS,Topic1,Hard,10,79,4,Morning,38,15,37,12,Unit,High,50,2,8,7,5,96,Practice,6,6,9,2,2,2,1,83,2026,8,12,2
21,Karan,18,College,Commerce,History,Topic4,Hard,7,53,3,Evening,39,13,31,19,Unit,High,61,9,4,5,4,69,Notes,6,8,4,10,2,3,2,62,2026,8,11,1
22,Priya,20,11,Commerce,Accounts,Topic10,Hard,2,66,2,Morning,51,14,30,15,Final,Low,59,5,7,5,4,101,Video,5,6,7,1,2,1,2,90,2026,8,11,1
23,Rahul,19,11,Arts,Physics,Topic8,Easy,7,76,2,Morning,35,10,34,27,Unit,Medium,35,6,9,5,2,111,Video,4,5,9,3,2,3,3,74,2026,8,22,5
24,Sneha,17,11,Commerce,History,Topic7,Easy,9,70,4,Evening,33,6,33,20,Final,Low,45,2,7,1,4,62,Video,3,7,5,8,3,1,1,81,2026,8,19,2
