id,name,age,class,stream,subject,topic,difficulty,clarity,last_score,daily_hours,study_time,session_time,break_time,weekly_hours,days_left,exam_type,priority,syllabus_done,focus,distraction,consistency,revision,practice,learning_style,screen_time,sleep,stress,motivation,study_hours,revision_time,breaks,predicted_score,exam_year,exam_month,exam_day,exam_weekday
1,0,18,0,0,0,0,0,6,85,6,0,55,7,15,20,0,0,52,2,10,6,4,129,0,6,7,5,7,5,2,1,62,2026,8,6,3
2,1,16,1,1,0,0,1,5,78,5,0,31,6,36,29,1,0,57,2,1,7,4,113,0,2,6,3,7,5,1,3,65,2026,8,12,2
3,2,20,2,2,1,1,1,8,83,4,1,37,7,34,15,0,1,31,8,8,5,4,112,0,4,6,10,6,4,3,3,76,2026,8,20,3
4,3,19,1,2,2,2,2,5,54,5,2,36,11,21,12,0,1,39,9,6,7,1,113,1,4,7,6,3,3,2,2,69,2026,8,2,6
5,1,19,2,0,0,0,1,9,77,4,2,40,5,37,15,1,0,69,1,3,5,2,113,0,3,7,9,4,3,3,2,80,2026,8,23,6
6,2,19,2,0,1,0,1,5,59,4,2,36,8,26,27,1,1,51,10,8,10,4,65,0,3,6,8,10,2,2,2,82,2026,8,25,1
7,4,17,2,0,3,3,2,9,85,5,1,41,14,26,8,1,1,38,6,9,2,4,105,1,3,5,5,9,5,3,1,78,2026,8,5,2
8,5,17,0,0,0,4,0,1,87,5,0,32,13,40,14,1,2,78,9,6,5,1,59,2,4,8,4,2,2,3,1,87,2026,8,3,0
9,6,17,2,2,3,3,0,4,89,6,2,59,12,32,16,1,0,73,4,7,1,2,52,1,5,6,1,2,2,1,3,77,2026,8,7,4
10,5,16,0,1,1,0,2,1,74,2,0,50,15,37,25,0,0,31,2,6,8,4,136,0,5,5,6,8,5,1,2,67,2026,8,2,6
11,4,19,1,2,4,0,0,2,57,6,0,40,10,27,12,0,0,46,1,3,3,2,54,2,6,7,10,10,2,3,1,62,2026,8,2,6
12,0,18,1,1,0,5,1,1,80,3,1,35,8,23,13,1,1,74,4,10,3,5,54,0,4,5,6,8,3,3,3,88,2026,8,18,1
13,7,20,1,1,0,5,0,8,68,2,0,30,9,38,9,0,2,75,2,3,2,5,98,2,5,6,4,1,2,3,2,74,2026,8,13,3
14,8,20,1,2,4,3,0,5,66,2,2,30,9,25,14,1,1,33,7,5,1,2,51,0,2,6,5,3,3,3,1,79,2026,8,2,6
15,9,20,1,2,0,2,1,8,70,5,1,30,7,24,22,1,2,46,7,3,2,1,136,0,4,7,8,3,2,1,2,89,2026,8,14,4
16,0,18,1,2,3,5,1,9,65,5,1,56,6,27,14,1,1,61,3,7,1,5,94,0,2,7,8,2,4,1,2,77,2026,8,21,4
17,0,16,1,2,3,0,0,5,90,4,1,55,7,35,29,0,2,58,2,2,9,3,64,1,5,7,1,3,5,2,2,75,2026,8,1,5
18,0,19,2,0,1,6,0,7,58,3,0,57,7,39,8,0,0,69,3,2,10,2,142,0,5,8,5,2,3,2,1,74,2026,8,6,3
19,4,18,2,0,3,7,1,3,67,5,1,56,5,20,26,1,2,33,4,1,7,1,51,2,6,8,2,3,5,2,2,82,2026,8,25,1
20,0,18,2,0,4,5,1,10,79,4,1,38,15,37,12,1,1,50,2,8,7,5,96,0,6,6,9,2,2,2,1,83,2026,8,12,2
21,5,18,1,2,0,1,1,7,53,3,2,39,13,31,19,1,1,61,9,4,5,4,69,1,6,8,4,10,2,3,2,62,2026,8,11,1
22,3,20,2,2,2,4,1,2,66,2,1,51,14,30,15,0,2,59,5,7,5,4,101,2,5,6,7,1,2,1,2,90,2026,8,11,1
23,9,19,2,1,3,8,2,7,76,2,1,35,10,34,27,1,0,35,6,9,5,2,111,2,4,5,9,3,2,3,3,74,2026,8,22,5
24,8,17,2,2,0,6,2,9,70,4,2,33,6,33,20,0,2,45,2,7,1,4,62,2,3,7,5,8,3,1,1,81,2026,8,19,2
25,9,18,1,2,2,1,0,7,87,4,1,35,15,40,8,1,1,57,5,10,7,2,81,0,6,6,7,8,5,3,3,72,2026,8,20,3
26,2,16,0,1,3,5,0,1,76,5,2,32,8,20,12,0,1,77,1,7,2,1,104,1,5,6,8,2,5,1,3,67,2026,8,1,5
27,9,18,0,1,1,6,1,9,50,6,0,60,8,15,22,1,2,59,4,8,2,4,64,2,2,8,4,5,3,2,1,83,2026,8,22,5
28,1,16,0,0,0,6,2,4,76,2,0,32,14,31,13,0,0,66,4,8,3,2,55,2,2,6,6,4,2,1,3,76,2026,8,20,3
29,6,18,2,1,1,2,1,10,88,3,1,47,12,36,12,1,0,63,9,6,5,3,62,0,5,5,6,5,5,1,1,81,2026,8,13,3
30,8,20,1,2,2,1,0,7,52,3,0,58,10,31,7,1,2,45,5,5,5,2,85,2,3,7,7,9,5,2,1,84,2026,8,3,0
31,4,16,1,2,2,9,2,6,80,4,1,37,5,27,22,0,0,70,4,7,8,5,54,1,4,6,5,9,2,3,2,62,2026,8,4,1
32,2,17,2,2,2,9,0,3,68,6,2,51,9,18,21,1,0,31,9,10,4,3,104,2,5,7,7,4,3,2,3,87,2026,8,18,1
33,5,18,1,2,1,2,0,5,73,4,2,59,11,17,11,0,1,33,2,2,6,4,129,1,2,5,1,1,3,1,2,89,2026,8,2,6
34,7,20,0,1,4,4,0,9,52,3,2,60,8,20,30,0,1,70,8,10,10,4,64,1,6,6,7,3,3,1,3,60,2026,8,24,0
35,6,17,0,2,1,8,1,5,65,3,1,38,11,37,27,0,1,75,1,7,6,4,72,0,4,6,1,9,5,2,2,80,2026,8,1,5
36,1,17,2,1,3,3,0,2,77,4,2,53,8,29,23,0,0,80,6,9,4,1,76,0,4,5,7,8,2,3,3,71,2026,8,20,3
37,6,19,1,0,1,1,2,2,54,5,0,39,11,39,5,0,2,70,6,2,9,2,75,2,5,8,7,2,2,2,3,69,2026,8,21,4
38,4,16,2,1,3,5,0,5,70,5,0,33,8,36,22,1,1,74,4,4,5,1,94,1,5,7,10,10,5,3,1,65,2026,8,8,5
